score_fingerprint,NA,Asian,Black,Multiple Races,Native American,White
5|7|2|1|6|8|2|5|2|2|3|6|1|5|2|9|5|3,46.55,50.733333333333334,44.73796296296296,43.06666666666667,45.766666666666666,47.5281045751634
1|3|10|8|8|9|8|6|10|10|10|4|10|10|10|9|9|7,99.025,96.4,90.0287037037037,99.33333333333333,96.63333333333333,94.78562091503268
6|7|1|2|10|6|5|8|10|7|5|4|4|10|9|3|6|7,70.25,72.53333333333333,67.05092592592592,69.13333333333334,69.08333333333334,70.66209150326797
8|2|5|2|5|1|8|6|2|10|4|10|8|3|9|1|3|3,59.9,58.63333333333333,55.98703703703704,55.43333333333333,55.38333333333333,60.35816993464052
10|8|8|4|1|4|5|7|2|6|7|7|1|10|3|10|1|2,61.7,67.1,60.65555555555556,58.1,57.900000000000006,65.76274509803922
6|10|10|7|7|4|3|7|9|1|8|8|10|9|5|5|3|8,82.575,83.46666666666667,78.38703703703703,80.23333333333333,78.98333333333333,82.69934640522875
4|9|6|1|6|5|8|2|6|4|1|8|4|6|9|5|3|9,61.525000000000006,64,60.306481481481484,61.233333333333334,63.38333333333333,63.40915032679739
8|4|9|10|3|6|9|10|5|1|5|7|9|4|7|2|2|9,77.95,79.86666666666667,73.24814814814815,77.33333333333333,76.73333333333333,78.15424836601308
8|10|6|6|2|10|5|1|6|2|7|8|4|4|1|10|8|2,70.1,71.06666666666666,64.49907407407407,65.86666666666666,66.86666666666666,69.45751633986929
2|5|1|6|8|9|3|8|8|6|6|9|3|9|3|10|5|8,70.525,73.93333333333334,67.25555555555556,70.3,71.3,70.85294117647058
9|7|1|1|5|10|9|7|10|10|6|9|10|7|9|6|8|3,84.1,83.60000000000001,77.15648148148148,77.83333333333333,80.03333333333333,82.57385620915032
2|6|9|7|1|2|10|1|10|6|9|7|1|1|6|8|9|8,73.05,71.3,68.28888888888889,79.5,73.1,73.04509803921569
6|2|4|3|2|2|8|8|7|5|5|10|4|7|4|2|2|7,58.625,60.7,56.351851851851855,59.96666666666667,57.91666666666667,60.59673202614379
6|9|10|8|8|5|9|4|1|10|10|4|4|4|7|2|1|8,74.05000000000001,73.93333333333334,70.42314814814814,73.53333333333333,70.18333333333334,75.99738562091503
4|8|10|6|4|7|10|10|2|10|6|10|5|2|4|3|10|7,80.875,81.3,75.03703703703704,80.03333333333333,78.08333333333334,80.95228758169935
7|8|5|1|9|4|10|6|3|9|3|7|7|9|5|1|1|5,63.974999999999994,66.03333333333333,60.827777777777776,59.4,59.7,65.53725490196078
